總表項次,提案日期,提案人,站點,部門,部門owner,提案內容,預算金額,審核狀態,備註,回覆備註
012,20250104,張偉,台北站,人力資源部,陳麗華,客戶活動,3978541,未通過,無,"2/15: 4242431243543542423143243465464654564564654654654,2/16: 56565656565656565353322,2/17: 45452424242424454575436546546546546345454545454"
025,20240901,張偉,高雄站,研發部,周麗娟,網路優化,79804,已通過,待預算,[]
028,20240501,陳雅婷,高雄站,資訊部,李明,設備採購,44767,已通過,需調整,[]
024,20250104,陳雅婷,台北站,人力資源部,黃美玲,設備採購,38180,已通過,待確認,[]
001,20240906,張偉,台北站,業務部,劉強,產品測試,37237,已通過,待預算,[]
009,20240210,吳曉雯,新竹站,業務部,黃美玲,招聘計畫,62870,未通過,分期付款,[]
016,20240105,林志豪,高雄站,資訊部,李明,市場推廣,48758,已通過,無,[]
010,20240330,趙子龍,新北站,財務部,陳麗華,市場推廣,27189,已通過,待確認,[]
019,20240905,張偉,桃園站,資訊部,王芳,市場推廣,87220,審核中,延長工期,[]
015,20250120,楊曉峰,台北站,業務部,王芳,設備採購,56472,審核中,急需人員,[]
002,20240322,陳雅婷,新竹站,人力資源部,周麗娟,員工培訓,39846,未通過,需調整,[]
018,20240718,吳曉雯,桃園站,財務部,劉強,系統升級,31872,審核中,急件,[]
021,20250115,趙子龍,新北站,研發部,王芳,招聘計畫,35001,已通過,無,[]
005,20240901,楊曉峰,台中站,業務部,李明,產品測試,50910,審核中,分期付款,[]
003,20240510,張偉,台中站,財務部,黃美玲,市場推廣,76399,已通過,無,[]
007,20241125,林志豪,新北站,研發部,陳麗華,設備採購,56122,審核中,分期付款,[]
013,20241005,陳雅婷,台中站,人力資源部,李明,系統升級,48259,審核中,急需人員,[]
008,20250105,吳曉雯,台北站,業務部,黃美玲,產品測試,60251,已通過,待預算,[]
022,20240228,陳雅婷,台南站,人力資源部,王芳,市場推廣,27984,已通過,急需人員,[]
020,20241102,吳曉雯,台北站,業務部,周麗娟,招聘計畫,45883,審核中,待確認,[]
014,20241110,趙子龍,台南站,研發部,王芳,網路優化,22718,未通過,待確認,[]
006,20241012,林志豪,台南站,財務部,李明,設備採購,35087,審核中,延長工期,[]
026,20240912,陳雅婷,新竹站,人力資源部,周麗娟,系統升級,29976,已通過,無,[]
011,20240615,吳曉雯,桃園站,財務部,李明,設備採購,69080,未通過,分期付款,[]
027,20241025,林志豪,台北站,研發部,劉強,員工培訓,70485,審核中,分期付款,[]
030,20240517,楊曉峰,新北站,資訊部,王芳,市場推廣,23765,審核中,急件,[]
004,20240708,趙子龍,高雄站,業務部,黃美玲,市場推廣,45399,未通過,待預算,[]
017,20240525,張偉,新竹站,人力資源部,李明,產品測試,60329,已通過,無,[]
029,20240310,陳雅婷,台南站,資訊部,王芳,設備採購,31687,已通過,待確認,[]
023,20240318,楊曉峰,新北站,研發部,劉強,招聘計畫,68291,審核中,無,[]
